name,state_name,country_code,latitude,longitude
Aladağ,Adana,TR,37.55854000,35.40196000
Ceyhan,Adana,TR,37.02472000,35.81750000
Çukurova,Adana,TR,37.05627000,35.13119000
Feke,Adana,TR,37.82405000,35.91826000
İmamoğlu,Adana,TR,37.27500000,35.66649000
Karaisalı,Adana,TR,37.26655000,35.05033000
Karataş,Adana,TR,36.57186000,35.36784000
Kozan,Adana,TR,37.50000000,35.75000000
Pozantı,Adana,TR,37.43671000,34.88057000
Saimbeyli,Adana,TR,37.99615000,36.09909000
Sarıçam,Adana,TR,37.14971000,35.50949000
Seyhan,Adana,TR,36.95540000,35.21637000
Tufanbeyli,Adana,TR,38.27343000,36.22731000
Yumurtalık,Adana,TR,36.78245000,35.79949000
Yüreğir,Adana,TR,36.99205000,35.45402000
Besni,Adıyaman,TR,37.69278000,37.86111000
Çelikhan,Adıyaman,TR,38.02560000,38.23665000
Gerger,Adıyaman,TR,37.95000000,39.01667000
Gölbaşı,Adıyaman,TR,37.78361000,37.63667000
Kâhta,Adıyaman,TR,37.78552000,38.62370000
Adıyaman,Adıyaman,TR,37.74454000,38.26801000
Samsat,Adıyaman,TR,37.58194000,38.47417000
Sincik,Adıyaman,TR,38.03645000,38.61257000
Tut,Adıyaman,TR,37.79529000,37.91610000
Başmakçı,Afyonkarahisar,TR,37.89722000,30.01167000
Bayat,Afyonkarahisar,TR,38.98306000,30.92472000
Bolvadin,Afyonkarahisar,TR,38.71111000,31.04861000
Çay,Afyonkarahisar,TR,38.59167000,31.02861000
Çobanlar,Afyonkarahisar,TR,38.71085000,30.78874000
Dazkırı,Afyonkarahisar,TR,37.91861000,29.86056000
Dinar,Afyonkarahisar,TR,38.06500000,30.16557000
Emirdağ,Afyonkarahisar,TR,39.01972000,31.15000000
Evciler,Afyonkarahisar,TR,38.04139000,29.88667000
Hocalar,Afyonkarahisar,TR,38.57824000,29.96768000
İhsaniye,Afyonkarahisar,TR,39.02916000,30.41639000
İscehisar,Afyonkarahisar,TR,38.93900000,30.75002000
Kızılören,Afyonkarahisar,TR,38.25806000,30.15167000
Afyonkarahisar,Afyonkarahisar,TR,38.79698000,30.51951000
Sandıklı,Afyonkarahisar,TR,38.46472000,30.26946000
Sinanpaşa,Afyonkarahisar,TR,38.74444000,30.24278000
Şuhut,Afyonkarahisar,TR,38.53111000,30.54583000
Sultandağı,Afyonkarahisar,TR,38.53111000,31.22806000
Diyadin,Ağrı,TR,39.54056000,43.67135000
Doğubayazıt,Ağrı,TR,39.54694000,44.08417000
Eleşkirt,Ağrı,TR,39.79803000,42.67574000
Hamur,Ağrı,TR,39.60561000,42.98500000
Ağrı,Ağrı,TR,39.71944000,43.05139000
Patnos,Ağrı,TR,39.22493000,42.85693000
Taşlıçay,Ağrı,TR,39.62966000,43.36878000
Tutak,Ağrı,TR,39.55042000,42.77572000
Ağaçören,Aksaray,TR,38.87484000,33.91674000
Eskil,Aksaray,TR,38.41158000,33.41994000
Gülağaç,Aksaray,TR,38.40641000,34.35071000
Güzelyurt,Aksaray,TR,38.27722000,34.37194000
Aksaray,Aksaray,TR,38.37060000,34.02843000
Ortaköy,Aksaray,TR,38.73728000,34.03866000
Sarıyahşi,Aksaray,TR,38.98349000,33.84136000
Sultanhanı,Aksaray,TR,38.24710000,33.54961000
Göynücek,Amasya,TR,40.39917000,35.52500000
Gümüşhacıköy,Amasya,TR,40.87306000,35.21472000
Hamamözü,Amasya,TR,40.79539000,35.03367000
Amasya,Amasya,TR,40.61939000,35.87016000
Merzifon,Amasya,TR,40.88348000,35.47116000
Suluova,Amasya,TR,40.83129000,35.64788000
Taşova,Amasya,TR,40.75972000,36.32250000
Akyurt,Ankara,TR,40.13512000,33.08614000
Altındağ,Ankara,TR,40.00110000,32.97022000
Ayaş,Ankara,TR,40.01933000,32.33221000
Bala,Ankara,TR,39.56374000,33.12962000
Beypazarı,Ankara,TR,40.16750000,31.92111000
Çamlıdere,Ankara,TR,40.48958000,32.47499000
Çankaya,Ankara,TR,39.91790000,32.86268000
Çubuk,Ankara,TR,40.23861000,33.03222000
Elmadağ,Ankara,TR,39.92083000,33.23083000
Etimesgut,Ankara,TR,39.96335000,32.63744000
Evren,Ankara,TR,39.02402000,33.80626000
Gölbaşı,Ankara,TR,39.79043000,32.80903000
Güdül,Ankara,TR,40.21051000,32.24552000
Haymana,Ankara,TR,39.43212000,32.49732000
Kahramankazan,Ankara,TR,40.16502000,32.63904000
Kalecik,Ankara,TR,40.09722000,33.40833000
Keçiören,Ankara,TR,40.02106000,32.83102000
Kızılcahamam,Ankara,TR,40.46972000,32.65056000
Mamak,Ankara,TR,39.94587000,32.90811000
Nallıhan,Ankara,TR,40.18593000,31.35179000
Polatlı,Ankara,TR,39.57715000,32.14132000
Pursaklar,Ankara,TR,40.03961000,32.90139000
Şereflikoçhisar,Ankara,TR,38.93925000,33.53860000
Sincan,Ankara,TR,39.95943000,32.49567000
Yenimahalle,Ankara,TR,39.99043000,32.69555000
Akseki,Antalya,TR,37.04861000,31.79000000
Aksu,Antalya,TR,36.95389000,30.84778000
Alanya,Antalya,TR,36.54375000,31.99982000
Demre,Antalya,TR,36.24444000,29.98500000
Döşemealtı,Antalya,TR,37.02366000,30.59040000
Elmalı,Antalya,TR,36.73583000,29.91775000
Finike,Antalya,TR,36.42355000,30.06645000
Gazipaşa,Antalya,TR,36.26942000,32.31792000
Gündoğmuş,Antalya,TR,36.82446000,32.00679000
İbradı,Antalya,TR,37.09694000,31.59917000
Kaş,Antalya,TR,36.20176000,29.63766000
Kemer,Antalya,TR,36.59778000,30.56056000
Kepez,Antalya,TR,37.01187000,30.75966000
Konyaaltı,Antalya,TR,36.86424000,30.62714000
Korkuteli,Antalya,TR,37.06498000,30.19565000
Kumluca,Antalya,TR,36.58000000,30.30000000
Manavgat,Antalya,TR,36.78667000,31.44306000
Muratpaşa,Antalya,TR,36.89157000,30.76498000
Serik,Antalya,TR,37.07743000,31.00677000
Çıldır,Ardahan,TR,41.13783000,43.14169000
Damal,Ardahan,TR,41.34145000,42.83680000
Göle,Ardahan,TR,40.78746000,42.60603000
Hanak,Ardahan,TR,41.23344000,42.84037000
Ardahan,Ardahan,TR,41.10871000,42.70222000
Posof,Ardahan,TR,41.51111000,42.72917000
Ardanuç,Artvin,TR,41.12738000,42.06292000
Arhavi,Artvin,TR,41.35121000,41.30456000
Borçka,Artvin,TR,41.35792000,41.66579000
Hopa,Artvin,TR,41.39046000,41.41966000
Kemalpaşa,Artvin,TR,41.48336000,41.52750000
Artvin,Artvin,TR,41.18161000,41.82172000
Murgul,Artvin,TR,41.27937000,41.55514000
Şavşat,Artvin,TR,41.24027000,42.36109000
Yusufeli,Artvin,TR,40.82042000,41.53743000
